% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 100.0 mV, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 5.000000 Hz to 10.00000 kHz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-09 T 13:35:59 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 / Ch 2) Magnitude (dBVpp), Math (Ch 1 / Ch 2) Phase (deg)
5.99487600e+01, -3.3828e+01, 1.7970e+02, -4.7918e+01, -1.0109e+02, 1.4089e+01, -7.9209e+01
6.08471367e+01, -3.3751e+01, 1.7924e+02, -4.7857e+01, -1.0278e+02, 1.4106e+01, -7.7979e+01
6.17589762e+01, -3.3845e+01, 1.8033e+02, -4.7122e+01, -1.0453e+02, 1.3277e+01, -7.5145e+01
6.26844803e+01, -3.4096e+01, 1.7976e+02, -4.7288e+01, -1.0289e+02, 1.3191e+01, -7.7355e+01
6.36238537e+01, -3.3953e+01, 1.7902e+02, -4.6763e+01, -1.0683e+02, 1.2809e+01, -7.4154e+01
6.45773044e+01, -3.3800e+01, 1.7925e+02, -4.6543e+01, -1.1031e+02, 1.2743e+01, -7.0438e+01
6.55450432e+01, -3.3852e+01, 1.8003e+02, -4.7048e+01, -1.1341e+02, 1.3196e+01, -6.6554e+01
6.65272843e+01, -3.3689e+01, 1.8066e+02, -4.8176e+01, -1.0961e+02, 1.4487e+01, -6.9734e+01
6.75242450e+01, -3.3842e+01, 1.7979e+02, -4.7353e+01, -1.0704e+02, 1.3511e+01, -7.3162e+01
6.85361459e+01, -3.4098e+01, 1.8043e+02, -4.6400e+01, -1.0689e+02, 1.2302e+01, -7.2679e+01
6.95632110e+01, -3.3908e+01, 1.8027e+02, -4.6226e+01, -1.0818e+02, 1.2318e+01, -7.1541e+01
7.06056673e+01, -3.3892e+01, 1.7998e+02, -4.7267e+01, -1.0952e+02, 1.3375e+01, -7.0499e+01
7.16637456e+01, -3.4076e+01, 1.7981e+02, -4.6729e+01, -1.0296e+02, 1.2652e+01, -7.7228e+01
